sequence,player_name,status,attempt,failed_reason,popup_name_debug,fp_production,units_production,goods_production,guild_goods_production,critical_hit,main_attack,main_defense,defending_units_attack,defending_units_defense,gbg_attack,gbg_defense,gbg_defending_units_attack,gbg_defending_units_defense,ge_attack,ge_defense,ge_defending_units_attack,ge_defending_units_defense
11,Kuniggsbog,self_manual,0,,Kuniggsbog,80195,3726,30225,35310,75,18421,16493,17445,15964,32895,31241,31172,30378,24153,23215,24142,23623
12,Dn4lor,ok,1,warning_name_mismatch_expected_Dn4lor_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,50186,2266,36834,42050,71.53,16903,15969,15905,15656,27605,26339,24193,24634,25014,24725,24959,24933
13,edman4444,ok,1,warning_name_mismatch_expected_edman4444_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,82094,2518,42903,36658,70.09,17144,15203,15616,14738,26954,25524,23794,25444,29876,27139,26809,27058
14,Carra,ok,1,warning_name_mismatch_expected_Carra_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,66510,2636,28955,35005,66.84,17368,17255,17199,18133,30916,30504,29363,31995,24865,26656,23253,25834
15,becop,ok,1,warning_name_mismatch_expected_becop_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,24472,1892,13455,16990,42.13,15567,14991,14428,14500,25847,25387,23626,24599,23943,24607,22790,23713
16,Rolanddd,ok,1,warning_name_mismatch_expected_Rolanddd_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,21117,1707,27339,25730,56.02,16210,15649,14801,13763,25791,24392,22167,21642,27655,27873,25600,25127
17,alterdestiny,ok,1,warning_name_mismatch_expected_alterdestiny_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,44780,2115,28970,26713,,15567,15890,15259,16427,23373,23806,21334,23551,25486,27615,25011,27419
18,MOMIS,ok,1,warning_name_mismatch_expected_MOMIS_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,48641,2496,27487,27460,65.23,11050,11508,10528,11937,20086,21142,18302,19732,19602,20246,17731,19695
19,pywackit,ok,1,warning_name_mismatch_expected_pywackit_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,17592,719,17151,22689,57.63,7083,6030,6238,6474,11309,10431,9859,11015,11507,11020,10124,11018
20,=Alpha=Wolf=,ok,1,warning_name_mismatch_expected_=Alpha=Wolf=_saw_Kuniggsbog  - FoE Helper,Kuniggsbog  - FoE Helper,16122,948,10363,12305,58.71,6373,5532,5568,5413,9228,8892,7246,8060,7871,8226,7857,8786
